"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Will\Documents\typescriptsource\DogApiBack\.eslintrc.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Will\Documents\typescriptsource\DogApiBack\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Will\Documents\typescriptsource\DogApiBack\jest.config.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 2, 10
"c:\Users\Will\Documents\typescriptsource\DogApiBack\package-lock.json", "JSON", 0, 0, 0, 13377, 0, 0, 0, 1, 13378
"c:\Users\Will\Documents\typescriptsource\DogApiBack\package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 1, 57
"c:\Users\Will\Documents\typescriptsource\DogApiBack\public\index.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Will\Documents\typescriptsource\DogApiBack\public\stylesheets\style.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\app.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\bin\www.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 1, 11, 58
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\config\app.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 5, 3, 32
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\config\db.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 1, 4, 20
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\middleware\__tests__\auth.test.ts", "TypeScript", 0, 0, 154, 0, 0, 0, 0, 10, 164
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\middleware\__tests__\passport.test.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\middleware\auth.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\middleware\passport.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\middleware\types.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Will\Documents\typescriptsource\DogApiBack\src\models\__tests__\dog.test.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 5, 49
